1,7.36,7.16,7.22,
2,7.36,7.15,7.21,
3,7.35,7.11,7.17,
4,7.35,7.14,7.17,
5,7.35,7.18,7.16,
6,7.35,7.18,7.17,
7,7.37,7.17,7.17,
8,7.38,7.18,7.16,
9,7.38,7.17,7.16,
10,7.4,7.17,7.18,
11,7.4,7.19,7.18,
12,7.4,7.19,7.16,
13,7.4,7.18,7.14,
14,7.39,7.16,7.13,
15,7.4,7.16,7.13,
16,7.37,7.14,7.11,
17,7.34,7.11,7.12,
18,7.36,7.13,7.14,
19,7.37,7.15,7.14,
20,7.36,7.17,7.15,
21,7.36,7.18,7.15,
22,7.37,7.19,7.17,
23,7.39,7.19,7.18,
24,7.39,7.18,7.2,
25,7.38,7.19,7.19,
26,7.38,7.19,7.18,
27,7.38,7.17,7.17,
28,7.36,7.18,7.16,
29,7.35,7.19,7.14,
30,7.34,7.18,7.15,
31,7.33,7.19,7.16,
32,7.34,7.21,7.16,
33,7.33,7.17,7.16,
34,7.34,7.18,7.16,
35,7.35,7.23,7.16,
36,7.34,7.22,7.16,
37,7.32,7.19,7.15,
38,7.32,7.2,7.15,
39,7.35,7.21,7.16,
40,7.37,7.19,7.16,
41,7.37,7.19,7.14,
42,7.37,7.19,7.16,
43,7.38,7.17,7.17,
44,7.36,7.17,7.17,
45,7.34,7.18,7.15,
46,7.34,7.18,7.14,
47,7.34,7.15,7.15,
48,7.33,7.16,7.16,
49,7.32,7.16,7.17,
50,7.31,7.15,7.17,
51,7.32,7.16,7.17,
52,7.33,7.18,7.16,
53,7.3,7.17,7.17,
54,7.3,7.17,7.17,
55,7.33,7.16,7.15,
56,7.33,7.17,7.14,
57,7.3,7.17,7.12,
58,7.29,7.17,7.14,
59,7.28,7.17,7.13,
60,7.27,7.17,7.11,
61,7.27,7.19,7.13,
62,7.27,7.19,7.14,
63,7.28,7.17,7.13,
64,7.27,7.17,7.11,
65,7.27,7.15,7.14,
66,7.26,7.15,7.17,
67,7.26,7.15,7.18,
68,7.25,7.15,7.2,
69,7.22,7.13,7.21,
70,7.23,7.13,7.22,
71,7.23,7.13,7.26,
72,7.24,7.11,7.31,
73,7.23,7.1,7.35,
74,7.22,7.1,7.38,
75,7.2,7.13,7.38,
76,7.19,7.15,7.37,
77,7.21,7.16,7.38,
78,7.2,7.15,7.4,
79,7.19,7.15,7.43,
80,7.19,7.17,7.46,
81,7.2,7.16,7.47,
82,7.19,7.15,7.5,
83,7.2,7.16,7.55,
84,7.21,7.15,7.62,
85,7.19,7.15,7.72,
86,7.19,7.16,7.84,
87,7.18,7.17,7.92,
88,7.18,7.17,7.96,
89,7.2,7.16,7.94,
90,7.19,7.17,7.89,
91,7.18,7.16,7.89,
92,7.18,7.16,7.89,
93,7.16,7.19,7.87,
94,7.16,7.18,7.85,
95,7.18,7.18,7.87,
96,7.17,7.18,7.89,
97,7.15,7.19,7.92,
98,7.13,7.19,7.94,
99,7.13,7.2,7.95,
100,7.16,7.21,7.98,
