1,6.484,
2,6.487,
3,6.490,
4,6.492,
5,6.492,
6,6.491,
7,6.491,
8,6.491,
9,6.491,
10,6.492,
11,6.493,
12,6.494,
13,6.494,
14,6.495,
15,6.496,
16,6.495,
17,6.494,
18,6.494,
19,6.494,
20,6.495,
21,6.496,
22,6.497,
23,6.499,
24,6.500,
25,6.501,
26,6.502,
27,6.503,
28,6.504,
29,6.505,
30,6.505,
31,6.506,
32,6.507,
33,6.508,
34,6.509,
35,6.510,
36,6.512,
37,6.513,
38,6.514,
39,6.515,
40,6.517,
41,6.518,
42,6.519,
43,6.521,
44,6.522,
45,6.524,
46,6.525,
47,6.527,
48,6.528,
49,6.530,
50,6.532,
51,6.533,
52,6.535,
53,6.537,
54,6.539,
55,6.541,
56,6.543,
57,6.545,
58,6.547,
59,6.550,
60,6.553,
61,6.556,
62,6.559,
63,6.563,
64,6.567,
65,6.571,
66,6.575,
67,6.580,
68,6.586,
69,6.591,
null,null,
70,6.201,
71,6.201,
72,6.201,
73,6.201,
74,6.200,
75,6.200,
76,6.199,
77,6.198,
78,6.197,
79,6.196,
80,6.195,
81,6.195,
82,6.195,
83,6.195,
84,6.195,
85,6.195,
86,6.195,
87,6.195,
88,6.195,
89,6.196,
90,6.197,
91,6.197,
92,6.197,
93,6.197,
94,6.196,
95,6.196,
96,6.195,
97,6.195,
98,6.194,
99,6.194,
100,6.193,
